[run number],release-adult-hybrids,stop-criterion-type,release-end,release-age,sex-ratio,Corral-capacity,[step],pop-size-wild,adult-pop-size-wild,cost,final-mean-qval,final-sd-qval,final-aar,final-sar,final-ho,final-sex-ratio,ticks
1,TRUE,"""time""",30,3,0.5,20,50,895,464,1151970,0.194799777,0.035017633,135,4.490635167,0.713381218,0.527374302,50
2,TRUE,"""time""",30,3,0.5,20,50,894,469,1185660,0.192027293,0.032175581,134,4.463661155,0.71796101,0.51901566,50
3,TRUE,"""time""",30,3,0.5,20,50,914,451,1166270,0.192414989,0.033558777,134,4.471273266,0.714702511,0.535010941,50
4,TRUE,"""time""",30,3,0.5,20,50,802,406,1071200,0.192450998,0.034968611,131,4.467730473,0.716066975,0.52244389,50
5,TRUE,"""time""",30,3,0.5,20,50,910,439,1098955,0.187857582,0.030297479,134,4.473828566,0.717844061,0.545054945,50
6,TRUE,"""time""",30,3,0.5,28,50,1138,584,1527275,0.20085413,0.036267794,132,4.451164944,0.706377103,0.553602812,50
7,TRUE,"""time""",30,3,0.5,28,50,1129,567,1475425,0.203121081,0.037500323,135,4.495525297,0.715340166,0.532329495,50
8,TRUE,"""time""",30,3,0.5,28,50,1033,560,1477630,0.194871733,0.031846096,136,4.498524439,0.720324529,0.512100678,50
9,TRUE,"""time""",30,3,0.5,28,50,1051,552,1521590,0.19608725,0.034297516,136,4.506464232,0.709029949,0.527117031,50
10,TRUE,"""time""",30,3,0.5,28,50,1098,555,1490505,0.19113224,0.02993006,134,4.495121655,0.716671004,0.517304189,50
11,TRUE,"""time""",30,3,0.67,20,50,1055,476,1182940,0.189430616,0.032667803,131,4.464158172,0.709230422,0.597156398,50
12,TRUE,"""time""",30,3,0.67,20,50,1029,464,1131170,0.190002818,0.031913344,131,4.46334098,0.715627748,0.5898931,50
13,TRUE,"""time""",30,3,0.67,20,50,896,420,1044675,0.191156473,0.034997984,134,4.500294299,0.70610119,0.569196429,50
14,TRUE,"""time""",30,3,0.67,20,50,1030,477,1140910,0.190747767,0.031813265,132,4.453441895,0.709570042,0.567961165,50
15,TRUE,"""time""",30,3,0.67,20,50,851,391,1062175,0.189505758,0.031697084,130,4.460822916,0.712327234,0.566392479,50
16,TRUE,"""time""",30,3,0.67,28,50,1534,723,1537025,0.200056845,0.033069679,132,4.495099672,0.714813435,0.605606258,50
17,TRUE,"""time""",30,3,0.67,28,50,1232,597,1482120,0.196867938,0.033556865,133,4.497417574,0.711966605,0.586038961,50
18,TRUE,"""time""",30,3,0.67,28,50,1247,593,1516200,0.198335204,0.035006847,136,4.502083118,0.709359606,0.57818765,50
19,TRUE,"""time""",30,3,0.67,28,50,1174,566,1420385,0.195432794,0.033296336,136,4.497393195,0.713798978,0.568143101,50
20,TRUE,"""time""",30,3,0.67,28,50,1270,603,1457350,0.19423,0.033101073,131,4.487098508,0.717697788,0.61023622,50
21,TRUE,"""time""",30,3,0.75,20,50,1273,553,1199320,0.192944619,0.034191978,134,4.460828621,0.705906557,0.622937942,50
